 0  62.54  0.51  1  1 10.21
 3  92.56  1.24  0  3  0.96
 2  95.31  0.42  0  2  0.90
 2  92.95  0.71  1  3  0.55
 1  67.05  0.86  1  1  0.86
 2  87.33  0.46  0  0  0.87
 2  97.46  0.51  1  2  0.63
 1  77.47  0.96  0  0  1.00
 2  89.33  0.27  1  3  2.96
 0  77.47  0.61  1  1  2.57
 1  61.05  0.95  1  0  0.77
 2  98.95  0.62  0  3  0.89
 0  73.90  0.71  1  1  1.66
 2  92.56  0.33  0  2  1.18
 0  72.67  0.46  0  0  0.85
 2  82.58  0.40  1  1  1.66
 2  85.75  0.23  0  1  1.94
 0  67.05  0.71  1  2  0.41
 2  85.75  0.23  1  3  0.68
 1  78.06  1.37  1  0  0.52
 0  69.02  0.57  1  0  0.67
 1  70.67  1.30  0  1  0.67
 2  82.58  0.40  0  2  0.54
 1  61.05  0.95  0  0  0.95
 3  92.95  0.86  0  2  1.07
 2  92.56  0.33  0  3  0.78
 2  81.94  0.21  0  0  0.62
 1  70.67  1.30  1  0  0.65
 1  69.02  1.00  0  1  0.85
 3  82.58  1.17  0  3  2.10
 3  81.94  1.37  1  3  0.83
 1  72.67  1.11  1  3  0.60
 2  98.95  0.62  0  3  1.29
 3  86.10  0.86  1  2  0.48
 2  90.98  0.57  0  2  1.39
 1  61.05  0.95  1  0  1.15
 3  85.75  1.34  0  0  1.11
 3  90.98  1.00  1  3  0.84
 0  73.90  0.71  1  0  1.09
 0  73.90  0.71  0  1  0.89
 0  64.69  0.42  1  1  0.97
 2  95.31  0.42  1  3  1.45
 0  67.05  0.71  0  0  1.05
 1  74.25  1.34  0  1  1.39
 1  77.47  0.96  1  1  1.39
 1  77.42  1.17  1  1  0.75
 0  77.42  0.40  1  2  2.32
 2  82.53  0.61  0  0  1.04
 0  74.25  0.23  1  0  1.38
 1  60.30  0.84  1  1  1.01
 3  95.31  1.16  1  3  1.90
 1  62.54  1.06  1  1  1.76
 0  67.44  0.33  0  1  0.60
 2  87.33  0.46  0  2  2.43
 2  95.31  0.42  0  2  0.91
 3  98.95  0.95  0  1  2.80
 2  98.95  0.62  1  3  0.69
 3  95.31  1.16  0  3  1.31
 2  82.53  0.61  1  2  1.39
 1  73.90  0.86  1  0  3.53
 0  70.67  0.27  0  0  1.66
 0  78.06  0.21  0  1  0.90
 0  61.05  0.62  1  1  0.50
 3  97.46  1.06  1  3  2.99
 0  62.54  0.51  1  0  1.33
 1  67.44  1.24  0  1  1.16
 1  62.54  1.06  0  1  0.75
 0  60.30  0.73  0  0  1.02
 2  86.10  0.71  0  3  1.62
 3  82.53  0.96  0  3  1.73
 3  97.46  1.06  0  2  1.22
 2  81.94  0.21  1  2  0.65
 3  85.75  1.34  1  1  1.90
 1  69.02  1.00  1  2  1.04
 0  78.06  0.21  1  3  1.53
 3  99.70  0.84  1  3  0.58
 1  72.67  1.11  0  1  2.77
 3  92.56  1.24  1  2  1.33
 0  70.67  0.27  1  0  0.65
 1  73.90  0.86  0  3  0.88
 2  90.98  0.57  1  2  1.20
 2  97.46  0.51  1  1  1.27
 3  86.10  0.86  0  1  0.91
 2  99.70  0.73  0  1  0.72
 1  60.30  0.84  0  0  0.72
 0  62.54  0.51  0  0  0.79
 0  72.67  0.46  0  1  0.61
 1  64.69  1.16  0  1  1.03
 3  87.33  1.11  1  3  2.83
 0  60.30  0.73  1  0  0.87
 3  90.98  1.00  0  2  1.08
 3  89.33  1.30  0  3  0.61
 1  67.44  1.24  1  0  0.87
 1  67.05  0.86  0  1  0.78
 0  72.67  0.46  1  2  1.85
 2  92.95  0.71  1  3  0.88
 3  99.70  0.84  0  3  0.52
 0  77.47  0.61  0  2  1.11
 0  74.25  0.23  0  0  1.17
 2  86.10  0.71  1  0  4.18
 0  67.44  0.33  1  0  1.00
 3  92.56  1.24  0  3  0.98
 3  82.53  0.96  1  2  1.29
 3  81.94  1.37  0  0  0.69
 1  67.05  0.86  1  1  0.92
 2  89.33  0.27  0  3  1.16
 1  74.25  1.34  1  0  1.59
 3  98.95  0.95  1  3  0.79
 1  64.69  1.16  1  0  0.72
 1  77.47  0.96  0  1  1.10
 3  92.95  0.86  1  2  1.33
 2  97.46  0.51  0  3  0.49
 3  82.58  1.17  1  0  1.36
 1  77.42  1.17  0  3  0.62
 0  69.02  0.57  0  1  0.30
 0  61.05  0.62  0  0  0.28
 2  89.33  0.27  1  3  0.35
 0  77.47  0.61  1  1  0.22
 2  92.95  0.71  0  0  0.35
 0  64.69  0.42  0  0  0.67
 2  87.33  0.46  1  1  0.67
 1  78.06  1.37  0  2  0.83
 2  92.56  0.33  1  2  0.84
 3  87.33  1.11  0  3  0.88
 2  99.70  0.73  1  2  0.57
 3  89.33  1.30  1  3  0.50
 0  77.42  0.40  0  0  0.61
 2  82.58  0.40  1  0  1.36
 1  62.54  1.06  1  0  1.66
 0  61.05  0.62  1  1  0.51
 3  82.53  0.96  0  3  0.62
 0  60.30  0.73  1  0  1.08
 2  90.98  0.57  0  2  3.68
 0  69.02  0.57  1  0  1.67
 2  92.95  0.71  1  3  1.61
 0  67.05  0.71  0  1  1.00
 2  85.75  0.23  1  2  1.85
 3  97.46  1.06  0  3  1.82
 2  95.31  0.42  1  2  1.62
 1  73.90  0.86  1  1  1.59
 0  64.69  0.42  0  0  0.64
 1  77.47  0.96  1  1  1.54
 0  62.54  0.51  1  0  0.69
 0  77.42  0.40  1  1  1.59
 1  77.42  1.17  1  1  1.50
 1  61.05  0.95  1  0  0.67
 1  62.54  1.06  0  1  0.75
 2  92.56  0.33  0  3  1.03
 0  72.67  0.46  0  2  0.99
 3  81.94  1.37  0  2  5.10
 3  95.31  1.16  1  3  0.55
 2  97.46  0.51  0  3  0.72
 0  77.47  0.61  1  0  0.86
 1  70.67  1.30  0  1  0.61
 1  73.90  0.86  0  2  0.73
 2  87.33  0.46  0  3  0.83
 1  72.67  1.11  1  1  1.28
 1  78.06  1.37  1  1  1.18
 0  73.90  0.71  1  2  2.56
 1  60.30  0.84  0  0  0.63
 1  74.25  1.34  0  1  0.86
 1  74.25  1.34  1  1  1.14
 0  72.67  0.46  1  0  0.71
 0  67.05  0.71  1  0  0.59
 3  81.94  1.37  1  3  2.62
 2  89.33  0.27  0  2  1.13
 1  77.42  1.17  0  1  2.23
 3  82.53  0.96  1  1  1.11
 0  74.25  0.23  1  0  1.74
 0  77.47  0.61  0  1  0.92
 2  92.95  0.71  0  3  1.13
 0  70.67  0.27  0  3  3.24
 3  87.33  1.11  1  3  0.92
 0  69.02  0.57  0  1  1.31
 2  98.95  0.62  0  3  0.82
 3  85.75  1.34  1  3  1.48
 3  98.95  0.95  0  2  0.86
 0  78.06  0.21  0  0  1.81
 0  64.69  0.42  1  0  0.73
 2  89.33  0.27  1  2  0.87
 0  67.44  0.33  1  0  0.76
 0  73.90  0.71  0  1  1.59
 2  92.56  0.33  1  3  0.80
 1  60.30  0.84  1  0  0.69
 3  90.98  1.00  0  3  0.89
 3  95.31  1.16  0  3  0.62
 2  81.94  0.21  1  2  0.96
 1  61.05  0.95  0  0  0.68
 2  86.10  0.71  1  3  3.29
 0  70.67  0.27  1  0  2.69
 1  67.05  0.86  1  1  0.93
 3  92.56  1.24  0  2  1.42
 3  82.58  1.17  0  3  0.71
 0  78.06  0.21  1  2  0.66
 3  85.75  1.34  0  2  1.38
 2  99.70  0.73  1  3  0.70
 1  77.47  0.96  0  3  0.43
 3  86.10  0.86  0  3  0.87
 0  62.54  0.51  0  1  0.86
 3  89.33  1.30  1  2  1.39
 1  64.69  1.16  0  1  0.92
 2  85.75  0.23  0  3  1.83
 1  67.44  1.24  0  0  1.14
 1  72.67  1.11  0  1  0.42
 3  92.56  1.24  1  3  1.65
 0  77.42  0.40  0  2  1.74
 1  78.06  1.37  0  1  1.62
 2  82.58  0.40  0  2  1.81
 1  70.67  1.30  1  3  0.70
 2  86.10  0.71  0  2  0.62
 3  98.95  0.95  1  2  1.00
 2  97.46  0.51  1  2  1.52
 3  89.33  1.30  0  1  1.36
 2  87.33  0.46  1  2  0.98
 2  90.98  0.57  1  3  0.64
 3  99.70  0.84  0  3  0.48
 3  90.98  1.00  1  3  0.74
 0  61.05  0.62  0  0  0.81
 1  69.02  1.00  0  0  0.58
 2  82.53  0.61  0  2  1.26
 1  67.05  0.86  0  1  1.31
 2  98.95  0.62  1  3  1.12
 3  92.95  0.86  0  2  0.63
 3  82.58  1.17  1  1  0.81
 0  60.30  0.73  0  0  0.72
 3  87.33  1.11  0  2  1.19
 2  95.31  0.42  0  3  0.72
 2  81.94  0.21  0  1  1.29
 3  86.10  0.86  1  3  0.73
 0  67.44  0.33  0  0  0.84
 1  67.44  1.24  1  1  1.92
 1  69.02  1.00  1  1  1.64
 3  97.46  1.06  1  3  1.07
 2  99.70  0.73  0  3  1.01
 3  99.70  0.84  1  2  0.75
 3  92.95  0.86  1  2  1.16
 0  74.25  0.23  0  2  0.72
 2  82.58  0.40  1  1  0.58
 1  64.69  1.16  1  0  1.05
 2  82.53  0.61  1  2  5.43
 2  98.95  0.62  1  3  2.41
 1  77.42  1.17  0  1  1.71
 0  60.30  0.73  0  0  1.03
 2  81.94  0.21  1  2  1.84
 0  70.67  0.27  1  2  1.82
 1  67.44  1.24  0  1  1.82
 0  64.69  0.42  1  0  1.02
 1  69.02  1.00  1  1  1.19
 3  92.56  1.24  0  3  2.19
 0  69.02  0.57  0  2  1.00
 3  99.70  0.84  0  3  1.55
 2  87.33  0.46  1  2  2.37
 1  67.44  1.24  1  1  1.41
 2  82.58  0.40  1  2  2.23
 2  90.98  0.57  0  2  1.23
 1  72.67  1.11  0  1  2.18
 3  85.75  1.34  0  3  1.85
 0  78.06  0.21  0  2  1.07
 3  87.33  1.11  1  1  4.75
 3  89.33  1.30  1  2  2.74
 3  86.10  0.86  1  3  2.06
 3  98.95  0.95  0  2  2.19
 0  77.42  0.40  1  2  1.96
 0  73.90  0.71  1  1  1.61
 1  77.47  0.96  1  0  0.87
 3  82.58  1.17  1  3  1.77
 2  87.33  0.46  0  2  1.12
 0  77.42  0.40  0  3  2.93
 2  92.56  0.33  0  2  1.58
 3  97.46  1.06  1  3  2.36
 0  77.47  0.61  0  0  2.55
 3  95.31  1.16  0  3  1.52
 1  67.05  0.86  1  0  1.07
 1  61.05  0.95  0  0  1.10
 1  74.25  1.34  0  0  1.26
 1  77.42  1.17  1  1  1.17
 1  70.67  1.30  0  1  0.95
 1  64.69  1.16  1  1  1.35
 2  98.95  0.62  0  3  1.25
 1  60.30  0.84  0  0  1.09
 3  99.70  0.84  1  2  1.26
 0  69.02  0.57  1  0  1.00
 0  62.54  0.51  1  1  1.30
 3  98.95  0.95  1  3  1.08
 0  74.25  0.23  0  2  3.09
 0  77.47  0.61  1  2  1.05
 3  81.94  1.37  1  1  1.17
 0  72.67  0.46  1  0  1.59
 1  69.02  1.00  0  1  1.35
 2  89.33  0.27  1  2  3.72
 0  62.54  0.51  0  1  1.04
 0  61.05  0.62  1  0  0.89
 2  99.70  0.73  0  3  1.02
 0  78.06  0.21  1  2  1.04
 1  78.06  1.37  1  1  1.05
 2  92.95  0.71  0  2  1.13
 2  81.94  0.21  0  0  1.01
 0  67.05  0.71  1  1  0.97
 0  67.44  0.33  0  1  0.90
 3  86.10  0.86  0  1  0.90
 0  60.30  0.73  1  1  1.04
 1  61.05  0.95  1  0  0.84
 1  70.67  1.30  1  2  1.84
 1  64.69  1.16  0  0  0.85
 0  67.05  0.71  0  1  0.86
 3  97.46  1.06  0  3  1.25
 0  61.05  0.62  0  0  2.19
 0  67.44  0.33  1  0  1.40
 2  92.95  0.71  1  3  3.93
 1  60.30  0.84  1  1  0.89
 3  92.95  0.86  1  3  1.00
 3  85.75  1.34  1  2  1.11
 0  73.90  0.71  0  3  0.99
 1  77.47  0.96  0  2  0.88
 0  72.67  0.46  0  1  0.78
 3  81.94  1.37  0  2  0.89
 1  78.06  1.37  0  1  0.77
 3  82.53  0.96  1  1  0.86
 0  74.25  0.23  1  3  0.94
 3  90.98  1.00  1  3  0.99
 2  82.53  0.61  0  2  1.13
 1  73.90  0.86  0  2  0.98
 2  85.75  0.23  0  3  1.49
 2  89.33  0.27  0  2  0.99
 1  62.54  1.06  0  0  0.84
 2  90.98  0.57  1  2  1.23
 2  82.58  0.40  0  2  0.92
 2  95.31  0.42  1  2  0.89
 2  99.70  0.73  1  2  0.78
 2  86.10  0.71  1  2  1.09
 2  86.10  0.71  0  2  0.97
 1  72.67  1.11  1  1  2.27
 2  82.53  0.61  1  2  1.63
 3  95.31  1.16  1  3  1.94
 1  62.54  1.06  1  1  1.53
 2  95.31  0.42  0  2  1.05
 2  85.75  0.23  1  2  0.92
 2  97.46  0.51  0  2  1.12
 3  82.58  1.17  0  0  1.99
 0  64.69  0.42  0  0  0.97
 1  74.25  1.34  1  3  1.89
 2  92.56  0.33  1  2  0.96
 0  70.67  0.27  0  0  3.77
 1  67.05  0.86  0  1  0.87
 3  82.53  0.96  0  3  0.85
 3  87.33  1.11  0  3  1.30
 3  90.98  1.00  0  3  1.20
 3  92.56  1.24  1  3  1.16
 2  97.46  0.51  1  2  0.92
 3  89.33  1.30  0  3  0.95
 1  73.90  0.86  1  1  1.24
 3  92.95  0.86  0  3  3.42
